system,size,fanout,endpoints,pub_s,deliv_s,p50_ns,p99_ns,mean_ns
libtracer,1,1,1,13088248,13088248,90,100,95
libtracer,1,4,1,8828608,35314433,130,140,134
libtracer,1,16,1,3965725,63451608,270,270,271
libtracer,1,64,1,1217523,77921495,840,850,845
libtracer,1,256,1,326421,83563800,3020,3770,3062
libtracer,1,1024,1,83819,85830604,11780,17560,12007
libtracer,1,4096,1,20959,85846092,46800,59730,47709
libtracer,16,1,1,13209085,13209085,100,100,96
libtracer,16,4,1,8723308,34893233,130,140,134
libtracer,16,16,1,3975998,63615975,270,340,270
libtracer,16,64,1,1209109,77382987,840,860,853
libtracer,16,256,1,325295,83275526,3030,3080,3056
libtracer,16,1024,1,83619,85626272,11780,16850,11981
libtracer,16,4096,1,20957,85839013,46850,58569,47645
libtracer,64,1,1,13004660,13004660,100,140,98
libtracer,64,4,1,8728279,34913115,130,140,135
libtracer,64,16,1,3931440,62903043,270,270,270
libtracer,64,64,1,1195218,76493977,830,850,842
libtracer,64,256,1,327440,83824547,3020,3660,3072
libtracer,64,1024,1,84054,86071381,11780,15830,11907
libtracer,64,4096,1,21173,86722957,46800,54220,47371
libtracer,256,1,1,13230800,13230800,100,100,97
libtracer,256,4,1,8624719,34498876,140,150,137
libtracer,256,16,1,3871364,61941819,270,270,271
libtracer,256,64,1,1196223,76558283,840,860,852
libtracer,256,256,1,327642,83876332,3030,3080,3067
libtracer,256,1024,1,83766,85776070,11790,16050,11887
libtracer,256,4096,1,21063,86273869,46820,54540,47393
libtracer,1024,1,1,12817043,12817043,100,110,102
libtracer,1024,4,1,8340470,33361880,140,170,142
libtracer,1024,16,1,3793737,60699796,270,380,278
libtracer,1024,64,1,1168175,74763202,850,1220,878
libtracer,1024,256,1,327241,83773814,3030,3130,3078
libtracer,1024,1024,1,83110,85104781,11790,17470,12131
libtracer,1024,4096,1,20937,85756109,46800,57039,47453
libtracer,4096,1,1,9367809,9367809,130,140,129
libtracer,4096,4,1,6716745,26866980,170,190,168
libtracer,4096,16,1,3454333,55269334,300,330,304
libtracer,4096,64,1,1120032,71682025,880,1200,902
