rep,arm,leg,ns_per_op
0,A-main,settings-d1,1.136
0,A-main,settings-d8,1.12
0,A-main,stream-store,103.644
0,A-main,plain-write,89.328
0,A-main,control-codec,32.605
0,A-main,settings-d1,1.118
0,A-main,settings-d8,1.116
0,A-main,stream-store,103.411
0,A-main,plain-write,89.416
0,A-main,control-codec,33.039
0,A-main,settings-d1,1.112
0,A-main,settings-d8,1.116
0,A-main,stream-store,96.424
0,A-main,plain-write,64.503
0,A-main,control-codec,23.106
0,B-branch,settings-d1,0.798
0,B-branch,settings-d8,0.79
0,B-branch,stream-store,76.646
0,B-branch,plain-write,53.466
0,B-branch,control-codec,23.803
0,B-branch,settings-d1,0.811
0,B-branch,settings-d8,0.808
0,B-branch,stream-store,76.058
0,B-branch,plain-write,52.281
0,B-branch,control-codec,23.288
0,B-branch,settings-d1,0.802
0,B-branch,settings-d8,0.801
0,B-branch,stream-store,75.976
0,B-branch,plain-write,52.506
0,B-branch,control-codec,23.485
1,A-main,settings-d1,0.806
1,A-main,settings-d8,0.797
1,A-main,stream-store,76.333
1,A-main,plain-write,52.93
1,A-main,control-codec,23.766
1,A-main,settings-d1,0.809
1,A-main,settings-d8,0.807
1,A-main,stream-store,76.695
1,A-main,plain-write,52.837
1,A-main,control-codec,23.699
1,A-main,settings-d1,0.802
1,A-main,settings-d8,0.808
1,A-main,stream-store,77.689
1,A-main,plain-write,54.187
1,A-main,control-codec,23.98
1,B-branch,settings-d1,0.814
1,B-branch,settings-d8,0.823
1,B-branch,stream-store,76.655
1,B-branch,plain-write,52.954
1,B-branch,control-codec,24.645
1,B-branch,settings-d1,0.803
1,B-branch,settings-d8,0.8
1,B-branch,stream-store,75.349
1,B-branch,plain-write,52.248
1,B-branch,control-codec,22.761
1,B-branch,settings-d1,0.806
1,B-branch,settings-d8,0.81
1,B-branch,stream-store,78.329
1,B-branch,plain-write,52.634
1,B-branch,control-codec,23.161
2,A-main,settings-d1,0.83
2,A-main,settings-d8,0.819
2,A-main,stream-store,80.132
2,A-main,plain-write,53.477
2,A-main,control-codec,23.816
2,A-main,settings-d1,0.807
2,A-main,settings-d8,0.811
2,A-main,stream-store,77.584
2,A-main,plain-write,52.871
2,A-main,control-codec,23.641
2,A-main,settings-d1,0.834
2,A-main,settings-d8,0.805
2,A-main,stream-store,79.403
2,A-main,plain-write,52.976
2,A-main,control-codec,23.615
2,B-branch,settings-d1,0.799
2,B-branch,settings-d8,0.799
2,B-branch,stream-store,75.557
2,B-branch,plain-write,52.331
2,B-branch,control-codec,24.108
2,B-branch,settings-d1,0.807
2,B-branch,settings-d8,0.835
2,B-branch,stream-store,76.242
2,B-branch,plain-write,52.444
2,B-branch,control-codec,24.113
2,B-branch,settings-d1,0.808
2,B-branch,settings-d8,0.808
2,B-branch,stream-store,76.295
2,B-branch,plain-write,52.362
2,B-branch,control-codec,23.648
3,A-main,settings-d1,0.862
3,A-main,settings-d8,0.803
3,A-main,stream-store,76.659
3,A-main,plain-write,52.431
3,A-main,control-codec,23.499
3,A-main,settings-d1,0.806
3,A-main,settings-d8,0.81
3,A-main,stream-store,77.439
3,A-main,plain-write,52.802
3,A-main,control-codec,23.521
3,A-main,settings-d1,0.816
3,A-main,settings-d8,0.807
3,A-main,stream-store,76.635
3,A-main,plain-write,52.715
3,A-main,control-codec,23.569
3,B-branch,settings-d1,0.801
3,B-branch,settings-d8,0.8
3,B-branch,stream-store,77.475
3,B-branch,plain-write,52.917
3,B-branch,control-codec,23.629
3,B-branch,settings-d1,0.806
3,B-branch,settings-d8,0.81
3,B-branch,stream-store,76.327
3,B-branch,plain-write,52.524
3,B-branch,control-codec,24.578
3,B-branch,settings-d1,0.806
3,B-branch,settings-d8,0.828
3,B-branch,stream-store,77.165
3,B-branch,plain-write,52.776
3,B-branch,control-codec,24.132
4,A-main,settings-d1,0.821
4,A-main,settings-d8,0.818
4,A-main,stream-store,78.449
4,A-main,plain-write,54.046
4,A-main,control-codec,23.922
4,A-main,settings-d1,0.816
4,A-main,settings-d8,0.85
4,A-main,stream-store,76.902
4,A-main,plain-write,53.317
4,A-main,control-codec,23.559
4,A-main,settings-d1,0.809
4,A-main,settings-d8,0.806
4,A-main,stream-store,78.638
4,A-main,plain-write,53.307
4,A-main,control-codec,23.647
4,B-branch,settings-d1,0.817
4,B-branch,settings-d8,0.806
4,B-branch,stream-store,77.673
4,B-branch,plain-write,53.044
4,B-branch,control-codec,23.556
4,B-branch,settings-d1,0.804
4,B-branch,settings-d8,0.804
4,B-branch,stream-store,78.144
4,B-branch,plain-write,52.435
4,B-branch,control-codec,23.552
4,B-branch,settings-d1,0.805
4,B-branch,settings-d8,0.808
4,B-branch,stream-store,76.233
4,B-branch,plain-write,52.342
4,B-branch,control-codec,23.757
5,A-main,settings-d1,0.847
5,A-main,settings-d8,0.805
5,A-main,stream-store,77.259
5,A-main,plain-write,52.58
5,A-main,control-codec,23.531
5,A-main,settings-d1,0.81
5,A-main,settings-d8,0.805
5,A-main,stream-store,76.878
5,A-main,plain-write,52.866
5,A-main,control-codec,23.482
5,A-main,settings-d1,0.809
5,A-main,settings-d8,0.806
5,A-main,stream-store,77.047
5,A-main,plain-write,52.658
5,A-main,control-codec,23.696
5,B-branch,settings-d1,0.815
5,B-branch,settings-d8,0.802
5,B-branch,stream-store,76.46
5,B-branch,plain-write,52.837
5,B-branch,control-codec,22.77
5,B-branch,settings-d1,0.805
5,B-branch,settings-d8,0.805
5,B-branch,stream-store,76.015
5,B-branch,plain-write,52.331
